dataset,independent_var,dependent_var
TwoGroups,Condition1,7
TwoGroups,Condition2,4
TwoGroups,Condition1,3
TwoGroups,Condition2,3
TwoGroups,Condition1,4
TwoGroups,Condition2,1
TwoGroups,Condition1,2
TwoGroups,Condition2,3
TwoGroups,Condition1,5
TwoGroups,Condition2,2
TwoGroups,Condition1,3
TwoGroups,Condition2,3
TwoGroups,Condition1,9
TwoGroups,Condition2,2
TwoGroups,Condition1,9
TwoGroups,Condition2,1
TwoGroups,Condition1,9
TwoGroups,Condition2,4
TwoGroups,Condition1,9
TwoGroups,Condition2,4
TwoGroups,Condition1,8
TwoGroups,Condition2,8
TwoGroups,Condition1,7
TwoGroups,Condition2,3
ThreeGroups,Condition1,2
ThreeGroups,Condition2,1
ThreeGroups,Condition3,2
ThreeGroups,Condition1,8
ThreeGroups,Condition2,5
ThreeGroups,Condition3,8
ThreeGroups,Condition1,7
ThreeGroups,Condition2,7
ThreeGroups,Condition3,2
ThreeGroups,Condition1,4
ThreeGroups,Condition2,3
ThreeGroups,Condition3,7
ThreeGroups,Condition1,5
ThreeGroups,Condition2,2
ThreeGroups,Condition3,6
ThreeGroups,Condition1,9
ThreeGroups,Condition2,6
ThreeGroups,Condition3,8
ThreeGroups,Condition1,3
ThreeGroups,Condition2,1
ThreeGroups,Condition3,3
ThreeGroups,Condition1,8
ThreeGroups,Condition2,2
ThreeGroups,Condition3,6
ThreeGroups,Condition1,6
ThreeGroups,Condition2,1
ThreeGroups,Condition3,4
ThreeGroups,Condition1,3
ThreeGroups,Condition2,7
ThreeGroups,Condition3,1
ThreeGroups,Condition1,2
ThreeGroups,Condition2,1
ThreeGroups,Condition3,6
ThreeGroups,Condition1,3
ThreeGroups,Condition2,5
ThreeGroups,Condition3,2
EightGroups,Condition1,3
EightGroups,Condition2,2
EightGroups,Condition3,2
EightGroups,Condition4,4
EightGroups,Condition5,9
EightGroups,Condition6,4
EightGroups,Condition7,4
EightGroups,Condition8,5
EightGroups,Condition1,9
EightGroups,Condition2,6
EightGroups,Condition3,1
EightGroups,Condition4,4
EightGroups,Condition5,3
EightGroups,Condition6,4
EightGroups,Condition7,3
EightGroups,Condition8,1
EightGroups,Condition1,6
EightGroups,Condition2,7
EightGroups,Condition3,7
EightGroups,Condition4,5
EightGroups,Condition5,3
EightGroups,Condition6,4
EightGroups,Condition7,7
EightGroups,Condition8,2
EightGroups,Condition1,4
EightGroups,Condition2,4
EightGroups,Condition3,3
EightGroups,Condition4,5
EightGroups,Condition5,8
EightGroups,Condition6,4
EightGroups,Condition7,2
EightGroups,Condition8,8
EightGroups,Condition1,8
EightGroups,Condition2,3
EightGroups,Condition3,2
EightGroups,Condition4,4
EightGroups,Condition5,7
EightGroups,Condition6,3
EightGroups,Condition7,7
EightGroups,Condition8,8
EightGroups,Condition1,7
EightGroups,Condition2,7
EightGroups,Condition3,8
EightGroups,Condition4,5
EightGroups,Condition5,3
EightGroups,Condition6,4
EightGroups,Condition7,4
EightGroups,Condition8,3
EightGroups,Condition1,9
EightGroups,Condition2,4
EightGroups,Condition3,6
EightGroups,Condition4,2
EightGroups,Condition5,8
EightGroups,Condition6,2
EightGroups,Condition7,1
EightGroups,Condition8,1
EightGroups,Condition1,7
EightGroups,Condition2,3
EightGroups,Condition3,5
EightGroups,Condition4,4
EightGroups,Condition5,5
EightGroups,Condition6,3
EightGroups,Condition7,8
EightGroups,Condition8,9
EightGroups,Condition1,6
EightGroups,Condition2,7
EightGroups,Condition3,6
EightGroups,Condition4,3
EightGroups,Condition5,5
EightGroups,Condition6,3
EightGroups,Condition7,9
EightGroups,Condition8,3
EightGroups,Condition1,5
EightGroups,Condition2,3
EightGroups,Condition3,6
EightGroups,Condition4,2
EightGroups,Condition5,7
EightGroups,Condition6,2
EightGroups,Condition7,7
EightGroups,Condition8,3
EightGroups,Condition1,9
EightGroups,Condition2,1
EightGroups,Condition3,7
EightGroups,Condition4,5
EightGroups,Condition5,2
EightGroups,Condition6,3
EightGroups,Condition7,6
EightGroups,Condition8,6
EightGroups,Condition1,4
EightGroups,Condition2,3
EightGroups,Condition3,6
EightGroups,Condition4,4
EightGroups,Condition5,7
EightGroups,Condition6,2
EightGroups,Condition7,1
EightGroups,Condition8,2